macco            0       8  0.1000000000000000E+01    1000      50  0.2589225769042969E-03  0.4639625549316406E-03  0.4279613494873047E-03
macco            1       8  0.1000000000000000E+01    1000      50  0.2799034118652344E-03  0.4651546478271484E-03  0.4253387451171875E-03
macco            2       8  0.1000000000000000E+01    1000      50  0.2799034118652344E-03  0.4651546478271484E-03  0.4291534423828125E-03
macco            3       8  0.1000000000000000E+01    1000      50  0.2760887145996094E-03  0.4670619964599609E-03  0.4341602325439453E-03
macco            4       8  0.1000000000000000E+01    1000      50  0.2839565277099609E-03  0.4661083221435547E-03  0.4248619079589844E-03
macco            5       8  0.1000000000000000E+01    1000      50  0.2849102020263672E-03  0.4670619964599609E-03  0.4329681396484375E-03
macco            6       8  0.1000000000000000E+01    1000      50  0.2729892730712891E-03  0.4670619964599609E-03  0.4417896270751953E-03
macco            7       8  0.1000000000000000E+01    1000      50  0.2849102020263672E-03  0.4670619964599609E-03  0.4370212554931641E-03
macco            0       8  0.1000000000000000E+01    2000      50  0.2150535583496094E-03  0.3769397735595703E-03  0.3342628479003906E-03
macco            1       8  0.1000000000000000E+01    2000      50  0.2291202545166016E-03  0.3728866577148438E-03  0.3085136413574219E-03
macco            2       8  0.1000000000000000E+01    2000      50  0.2388954162597656E-03  0.3778934478759766E-03  0.3390312194824219E-03
macco            3       8  0.1000000000000000E+01    2000      50  0.2398490905761719E-03  0.3769397735595703E-03  0.3273487091064453E-03
macco            4       8  0.1000000000000000E+01    2000      50  0.2350807189941406E-03  0.3788471221923828E-03  0.3156661987304688E-03
macco            5       8  0.1000000000000000E+01    2000      50  0.2019405364990234E-03  0.3781318664550781E-03  0.3261566162109375E-03
macco            6       8  0.1000000000000000E+01    2000      50  0.2350807189941406E-03  0.3800392150878906E-03  0.3311634063720703E-03
macco            7       8  0.1000000000000000E+01    2000      50  0.2300739288330078E-03  0.3781318664550781E-03  0.3323554992675781E-03
macco            0       8  0.1000000000000000E+01    4000      50  0.2529621124267578E-03  0.5140304565429688E-03  0.4377365112304688E-03
macco            1       8  0.1000000000000000E+01    4000      50  0.2639293670654297E-03  0.5149841308593750E-03  0.4382133483886719E-03
macco            2       8  0.1000000000000000E+01    4000      50  0.2861022949218750E-03  0.5159378051757812E-03  0.4432201385498047E-03
macco            3       8  0.1000000000000000E+01    4000      50  0.2839565277099609E-03  0.5178451538085938E-03  0.4456043243408203E-03
macco            4       8  0.1000000000000000E+01    4000      50  0.2880096435546875E-03  0.5168914794921875E-03  0.4148483276367188E-03
macco            5       8  0.1000000000000000E+01    4000      50  0.2880096435546875E-03  0.5168914794921875E-03  0.4217624664306641E-03
macco            6       8  0.1000000000000000E+01    4000      50  0.2880096435546875E-03  0.5180835723876953E-03  0.4210472106933594E-03
macco            7       8  0.1000000000000000E+01    4000      50  0.2870559692382812E-03  0.5180835723876953E-03  0.4491806030273438E-03
macco            0       8  0.1000000000000000E+01    8000      50  0.2748966217041016E-03  0.4329681396484375E-03  0.3256797790527344E-03
