upwind           0       2  0.1000000000000000E+01    1000      20  0.2238750457763672E-03  0.1969337463378906E-03  0.1854896545410156E-03
upwind           1       2  0.1000000000000000E+01    1000      20  0.2450942993164062E-03  0.1947879791259766E-03  0.1852512359619141E-03
upwind           0       2  0.1000000000000000E+01    2000      20  0.2360343933105469E-03  0.1959800720214844E-03  0.1692771911621094E-03
upwind           1       2  0.1000000000000000E+01    2000      20  0.2169609069824219E-03  0.1950263977050781E-03  0.1692771911621094E-03
upwind           0       2  0.1000000000000000E+01    4000      20  0.2491474151611328E-03  0.2148151397705078E-03  0.1735687255859375E-03
upwind           1       2  0.1000000000000000E+01    4000      20  0.2379417419433594E-03  0.2129077911376953E-03  0.1773834228515625E-03
upwind           0       2  0.1000000000000000E+01    8000      20  0.2460479736328125E-03  0.2939701080322266E-03  0.2098083496093750E-03
upwind           1       2  0.1000000000000000E+01    8000      20  0.2288818359375000E-03  0.2951622009277344E-03  0.1993179321289062E-03
upwind           0       2  0.1000000000000000E+01   16000      20  0.2510547637939453E-03  0.3979206085205078E-03  0.2188682556152344E-03
upwind           1       2  0.1000000000000000E+01   16000      20  0.3020763397216797E-03  0.3988742828369141E-03  0.2470016479492188E-03
upwind           0       2  0.1000000000000000E+01   32000      20  0.3349781036376953E-03  0.6761550903320312E-03  0.3228187561035156E-03
upwind           1       2  0.1000000000000000E+01   32000      20  0.3829002380371094E-03  0.6780624389648438E-03  0.2222061157226562E-03
upwind           0       2  0.1000000000000000E+01   64000      20  0.5347728729248047E-03  0.1325130462646484E-02  0.4000663757324219E-03
upwind           1       2  0.1000000000000000E+01   64000      20  0.5261898040771484E-03  0.1328945159912109E-02  0.2136230468750000E-03
upwind           0       2  0.1000000000000000E+01  128000      20  0.6549358367919922E-03  0.2266883850097656E-02  0.3578662872314453E-03
upwind           1       2  0.1000000000000000E+01  128000      20  0.6580352783203125E-03  0.2272129058837891E-02  0.1771450042724609E-03
upwind           0       2  0.1000000000000000E+01  256000      20  0.1224040985107422E-02  0.4194021224975586E-02  0.5590915679931641E-03
upwind           1       2  0.1000000000000000E+01  256000      20  0.1211166381835938E-02  0.4197835922241211E-02  0.1888275146484375E-03
upwind           0       2  0.1000000000000000E+01  512000      20  0.2650022506713867E-02  0.6755113601684570E-02  0.3113746643066406E-03
upwind           1       2  0.1000000000000000E+01  512000      20  0.2630949020385742E-02  0.6764173507690430E-02  0.2207756042480469E-03
upwind           0       2  0.1000000000000000E+01 1024000      20  0.3629207611083984E-02  0.1357197761535645E-01  0.6368160247802734E-03
upwind           1       2  0.1000000000000000E+01 1024000      20  0.3664970397949219E-02  0.1358819007873535E-01  0.1857280731201172E-03
upwind           0       2  0.1000000000000000E+01 2048000      20  0.6313085556030273E-02  0.2953004837036133E-01  0.3048181533813477E-02
upwind           1       2  0.1000000000000000E+01 2048000      20  0.6366014480590820E-02  0.2959299087524414E-01  0.8893013000488281E-04
upwind           0       4  0.1000000000000000E+01    1000      20  0.2279281616210938E-03  0.2181529998779297E-03  0.2133846282958984E-03
upwind           1       4  0.1000000000000000E+01    1000      20  0.2331733703613281E-03  0.2169609069824219E-03  0.2117156982421875E-03
upwind           2       4  0.1000000000000000E+01    1000      20  0.2539157867431641E-03  0.2181529998779297E-03  0.2131462097167969E-03
upwind           3       4  0.1000000000000000E+01    1000      20  0.2551078796386719E-03  0.2169609069824219E-03  0.2112388610839844E-03
upwind           0       4  0.1000000000000000E+01    2000      20  0.2729892730712891E-03  0.3750324249267578E-03  0.3650188446044922E-03
upwind           1       4  0.1000000000000000E+01    2000      20  0.2901554107666016E-03  0.3769397735595703E-03  0.3654956817626953E-03
upwind           2       4  0.1000000000000000E+01    2000      20  0.2889633178710938E-03  0.3759860992431641E-03  0.3530979156494141E-03
upwind           3       4  0.1000000000000000E+01    2000      20  0.2961158752441406E-03  0.3769397735595703E-03  0.3519058227539062E-03
upwind           0       4  0.1000000000000000E+01    4000      20  0.2229213714599609E-03  0.2260208129882812E-03  0.2050399780273438E-03
upwind           1       4  0.1000000000000000E+01    4000      20  0.2400875091552734E-03  0.2279281616210938E-03  0.2050399780273438E-03
upwind           2       4  0.1000000000000000E+01    4000      20  0.2460479736328125E-03  0.2269744873046875E-03  0.2188682556152344E-03
upwind           3       4  0.1000000000000000E+01    4000      20  0.2479553222656250E-03  0.2250671386718750E-03  0.2188682556152344E-03
upwind           0       4  0.1000000000000000E+01    8000      20  0.2369880676269531E-03  0.2229213714599609E-03  0.1873970031738281E-03
upwind           1       4  0.1000000000000000E+01    8000      20  0.2379417419433594E-03  0.2229213714599609E-03  0.1862049102783203E-03
upwind           2       4  0.1000000000000000E+01    8000      20  0.2751350402832031E-03  0.2250671386718750E-03  0.1871585845947266E-03
upwind           3       4  0.1000000000000000E+01    8000      20  0.2639293670654297E-03  0.2241134643554688E-03  0.1862049102783203E-03
upwind           0       4  0.1000000000000000E+01   16000      20  0.2679824829101562E-03  0.3550052642822266E-03  0.2708435058593750E-03
upwind           1       4  0.1000000000000000E+01   16000      20  0.2758502960205078E-03  0.3559589385986328E-03  0.2348423004150391E-03
upwind           2       4  0.1000000000000000E+01   16000      20  0.2729892730712891E-03  0.3569126129150391E-03  0.2679824829101562E-03
upwind           3       4  0.1000000000000000E+01   16000      20  0.2529621124267578E-03  0.3559589385986328E-03  0.2667903900146484E-03
upwind           0       4  0.1000000000000000E+01   32000      20  0.2539157867431641E-03  0.4410743713378906E-03  0.2684593200683594E-03
