macco            0       1  0.1000000000000000E+01  512000      50  0.3678083419799805E-02  0.7147789001464844E-01  0.1533603668212891E-01
macco            0       2  0.1000000000000000E+01  512000      50  0.2513885498046875E-02  0.4101109504699707E-01  0.1222944259643555E-01
macco            1       2  0.1000000000000000E+01  512000      50  0.2500057220458984E-02  0.4102301597595215E-01  0.9077310562133789E-02
macco            0       3  0.1000000000000000E+01  512000      50  0.1630067825317383E-02  0.2552986145019531E-01  0.6373643875122070E-02
macco            1       3  0.1000000000000000E+01  512000      50  0.1627922058105469E-02  0.2555799484252930E-01  0.5687713623046875E-02
macco            2       3  0.1000000000000000E+01  512000      50  0.1612901687622070E-02  0.2556705474853516E-01  0.5899429321289062E-02
macco            0       4  0.1000000000000000E+01  512000      50  0.1362085342407227E-02  0.2068090438842773E-01  0.5725622177124023E-02
macco            1       4  0.1000000000000000E+01  512000      50  0.1360177993774414E-02  0.2069687843322754E-01  0.5749464035034180E-02
macco            2       4  0.1000000000000000E+01  512000      50  0.1379013061523438E-02  0.2068996429443359E-01  0.4836559295654297E-02
macco            3       4  0.1000000000000000E+01  512000      50  0.1373052597045898E-02  0.2069497108459473E-01  0.4719018936157227E-02
macco            0       5  0.1000000000000000E+01  512000      50  0.1178979873657227E-02  0.1573920249938965E-01  0.3615856170654297E-02
macco            1       5  0.1000000000000000E+01  512000      50  0.1200914382934570E-02  0.1574492454528809E-01  0.3499269485473633E-02
macco            2       5  0.1000000000000000E+01  512000      50  0.1204967498779297E-02  0.1574707031250000E-01  0.3522157669067383E-02
macco            3       5  0.1000000000000000E+01  512000      50  0.1180887222290039E-02  0.1572799682617188E-01  0.3939867019653320E-02
macco            4       5  0.1000000000000000E+01  512000      50  0.1173019409179688E-02  0.1572513580322266E-01  0.3961086273193359E-02
macco            0       6  0.1000000000000000E+01  512000      50  0.9829998016357422E-03  0.1405191421508789E-01  0.3143548965454102E-02
macco            1       6  0.1000000000000000E+01  512000      50  0.9989738464355469E-03  0.1405000686645508E-01  0.3242015838623047E-02
macco            2       6  0.1000000000000000E+01  512000      50  0.9999275207519531E-03  0.1404404640197754E-01  0.3139495849609375E-02
macco            3       6  0.1000000000000000E+01  512000      50  0.1003026962280273E-02  0.1404595375061035E-01  0.3355503082275391E-02
macco            4       6  0.1000000000000000E+01  512000      50  0.9911060333251953E-03  0.1400995254516602E-01  0.4663705825805664E-02
macco            5       6  0.1000000000000000E+01  512000      50  0.9930133819580078E-03  0.1401090621948242E-01  0.4643678665161133E-02
macco            0       7  0.1000000000000000E+01  512000      50  0.9789466857910156E-03  0.1194405555725098E-01  0.2690076828002930E-02
macco            1       7  0.1000000000000000E+01  512000      50  0.9949207305908203E-03  0.1194810867309570E-01  0.2789735794067383E-02
macco            2       7  0.1000000000000000E+01  512000      50  0.9961128234863281E-03  0.1193904876708984E-01  0.2834796905517578E-02
macco            3       7  0.1000000000000000E+01  512000      50  0.9651184082031250E-03  0.1195478439331055E-01  0.2814769744873047E-02
macco            4       7  0.1000000000000000E+01  512000      50  0.1019001007080078E-02  0.1192903518676758E-01  0.3276586532592773E-02
macco            5       7  0.1000000000000000E+01  512000      50  0.1013994216918945E-02  0.1193404197692871E-01  0.3180503845214844E-02
macco            6       7  0.1000000000000000E+01  512000      50  0.1013994216918945E-02  0.1192998886108398E-01  0.3270387649536133E-02
macco            0       8  0.1000000000000000E+01  512000      50  0.8180141448974609E-03  0.1090693473815918E-01  0.2705812454223633E-02
macco            1       8  0.1000000000000000E+01  512000      50  0.8280277252197266E-03  0.1091384887695312E-01  0.2722501754760742E-02
macco            2       8  0.1000000000000000E+01  512000      50  0.8380413055419922E-03  0.1091098785400391E-01  0.2710819244384766E-02
macco            3       8  0.1000000000000000E+01  512000      50  0.8380413055419922E-03  0.1090383529663086E-01  0.2699136734008789E-02
macco            4       8  0.1000000000000000E+01  512000      50  0.8189678192138672E-03  0.1087188720703125E-01  0.2817153930664062E-02
macco            5       8  0.1000000000000000E+01  512000      50  0.8060932159423828E-03  0.1087284088134766E-01  0.2830743789672852E-02
macco            6       8  0.1000000000000000E+01  512000      50  0.8308887481689453E-03  0.1087093353271484E-01  0.2842426300048828E-02
macco            7       8  0.1000000000000000E+01  512000      50  0.8299350738525391E-03  0.1087689399719238E-01  0.2644062042236328E-02
macco            0       9  0.1000000000000000E+01  512000      50  0.8430480957031250E-03  0.9742975234985352E-02  0.2151250839233398E-02
macco            1       9  0.1000000000000000E+01  512000      50  0.8549690246582031E-03  0.9741067886352539E-02  0.2435922622680664E-02
macco            2       9  0.1000000000000000E+01  512000      50  0.8621215820312500E-03  0.9742975234985352E-02  0.2382755279541016E-02
macco            3       9  0.1000000000000000E+01  512000      50  0.8599758148193359E-03  0.9742021560668945E-02  0.2455711364746094E-02
macco            4       9  0.1000000000000000E+01  512000      50  0.8611679077148438E-03  0.9742021560668945E-02  0.2467155456542969E-02
macco            5       9  0.1000000000000000E+01  512000      50  0.8668899536132812E-03  0.9735107421875000E-02  0.2711296081542969E-02
macco            6       9  0.1000000000000000E+01  512000      50  0.8680820465087891E-03  0.9735107421875000E-02  0.2791643142700195E-02
macco            7       9  0.1000000000000000E+01  512000      50  0.8680820465087891E-03  0.9732961654663086E-02  0.2853155136108398E-02
macco            8       9  0.1000000000000000E+01  512000      50  0.8599758148193359E-03  0.9732961654663086E-02  0.2897977828979492E-02
macco            0      10  0.1000000000000000E+01  512000      50  0.7460117340087891E-03  0.8554935455322266E-02  0.2146005630493164E-02
