upwind           0       8  0.1000000000000000E+01    1000      50  0.1959800720214844E-03  0.3149509429931641E-03  0.3077983856201172E-03
upwind           1       8  0.1000000000000000E+01    1000      50  0.2210140228271484E-03  0.3159046173095703E-03  0.3070831298828125E-03
upwind           2       8  0.1000000000000000E+01    1000      50  0.1969337463378906E-03  0.3161430358886719E-03  0.3063678741455078E-03
upwind           3       8  0.1000000000000000E+01    1000      50  0.2219676971435547E-03  0.3170967102050781E-03  0.3089904785156250E-03
upwind           4       8  0.1000000000000000E+01    1000      50  0.2260208129882812E-03  0.3170967102050781E-03  0.3111362457275391E-03
upwind           5       8  0.1000000000000000E+01    1000      50  0.2200603485107422E-03  0.3170967102050781E-03  0.3104209899902344E-03
upwind           6       8  0.1000000000000000E+01    1000      50  0.2460479736328125E-03  0.3180503845214844E-03  0.3099441528320312E-03
upwind           7       8  0.1000000000000000E+01    1000      50  0.2379417419433594E-03  0.3180503845214844E-03  0.3108978271484375E-03
upwind           0       8  0.1000000000000000E+01    2000      50  0.2439022064208984E-03  0.3161430358886719E-03  0.3018379211425781E-03
upwind           1       8  0.1000000000000000E+01    2000      50  0.2660751342773438E-03  0.3159046173095703E-03  0.3020763397216797E-03
upwind           2       8  0.1000000000000000E+01    2000      50  0.2648830413818359E-03  0.3180503845214844E-03  0.3056526184082031E-03
upwind           3       8  0.1000000000000000E+01    2000      50  0.2441406250000000E-03  0.3178119659423828E-03  0.3008842468261719E-03
upwind           4       8  0.1000000000000000E+01    2000      50  0.2739429473876953E-03  0.3190040588378906E-03  0.3015995025634766E-03
upwind           5       8  0.1000000000000000E+01    2000      50  0.2751350402832031E-03  0.3190040588378906E-03  0.3066062927246094E-03
upwind           6       8  0.1000000000000000E+01    2000      50  0.2751350402832031E-03  0.3190040588378906E-03  0.3020763397216797E-03
upwind           7       8  0.1000000000000000E+01    2000      50  0.2760887145996094E-03  0.3180503845214844E-03  0.3039836883544922E-03
upwind           0       8  0.1000000000000000E+01    4000      50  0.2291202545166016E-03  0.3509521484375000E-03  0.3247261047363281E-03
upwind           1       8  0.1000000000000000E+01    4000      50  0.2510547637939453E-03  0.3509521484375000E-03  0.3247261047363281E-03
upwind           2       8  0.1000000000000000E+01    4000      50  0.2250671386718750E-03  0.3509521484375000E-03  0.3306865692138672E-03
upwind           3       8  0.1000000000000000E+01    4000      50  0.2539157867431641E-03  0.3519058227539062E-03  0.3304481506347656E-03
upwind           4       8  0.1000000000000000E+01    4000      50  0.2551078796386719E-03  0.3528594970703125E-03  0.3311634063720703E-03
upwind           5       8  0.1000000000000000E+01    4000      50  0.2560615539550781E-03  0.3528594970703125E-03  0.3275871276855469E-03
upwind           6       8  0.1000000000000000E+01    4000      50  0.2560615539550781E-03  0.3528594970703125E-03  0.3316402435302734E-03
upwind           7       8  0.1000000000000000E+01    4000      50  0.2529621124267578E-03  0.3528594970703125E-03  0.3306865692138672E-03
upwind           0       8  0.1000000000000000E+01    8000      50  0.2210140228271484E-03  0.3869533538818359E-03  0.3409385681152344E-03
upwind           1       8  0.1000000000000000E+01    8000      50  0.2439022064208984E-03  0.3879070281982422E-03  0.3447532653808594E-03
upwind           2       8  0.1000000000000000E+01    8000      50  0.2429485321044922E-03  0.3890991210937500E-03  0.3521442413330078E-03
upwind           3       8  0.1000000000000000E+01    8000      50  0.2439022064208984E-03  0.3900527954101562E-03  0.3571510314941406E-03
upwind           4       8  0.1000000000000000E+01    8000      50  0.2360343933105469E-03  0.3900527954101562E-03  0.3483295440673828E-03
upwind           5       8  0.1000000000000000E+01    8000      50  0.2369880676269531E-03  0.3900527954101562E-03  0.3457069396972656E-03
upwind           6       8  0.1000000000000000E+01    8000      50  0.2090930938720703E-03  0.3910064697265625E-03  0.3538131713867188E-03
upwind           7       8  0.1000000000000000E+01    8000      50  0.2360343933105469E-03  0.3910064697265625E-03  0.3507137298583984E-03
upwind           0       8  0.1000000000000000E+01   16000      50  0.2348423004150391E-03  0.4169940948486328E-03  0.3244876861572266E-03
upwind           1       8  0.1000000000000000E+01   16000      50  0.2851486206054688E-03  0.4158020019531250E-03  0.3280639648437500E-03
upwind           2       8  0.1000000000000000E+01   16000      50  0.2818107604980469E-03  0.4181861877441406E-03  0.3292560577392578E-03
upwind           3       8  0.1000000000000000E+01   16000      50  0.2851486206054688E-03  0.4179477691650391E-03  0.3244876861572266E-03
upwind           4       8  0.1000000000000000E+01   16000      50  0.2939701080322266E-03  0.4200935363769531E-03  0.3292560577392578E-03
upwind           5       8  0.1000000000000000E+01   16000      50  0.2930164337158203E-03  0.4200935363769531E-03  0.3132820129394531E-03
upwind           6       8  0.1000000000000000E+01   16000      50  0.2939701080322266E-03  0.4200935363769531E-03  0.3299713134765625E-03
upwind           7       8  0.1000000000000000E+01   16000      50  0.2951622009277344E-03  0.4189014434814453E-03  0.3225803375244141E-03
upwind           0       8  0.1000000000000000E+01   32000      50  0.3039836883544922E-03  0.5738735198974609E-03  0.3809928894042969E-03
upwind           1       8  0.1000000000000000E+01   32000      50  0.3249645233154297E-03  0.5760192871093750E-03  0.3614425659179688E-03
upwind           2       8  0.1000000000000000E+01   32000      50  0.3299713134765625E-03  0.5760192871093750E-03  0.3721714019775391E-03
upwind           3       8  0.1000000000000000E+01   32000      50  0.3240108489990234E-03  0.5781650543212891E-03  0.3740787506103516E-03
upwind           4       8  0.1000000000000000E+01   32000      50  0.3240108489990234E-03  0.5769729614257812E-03  0.3688335418701172E-03
