 -0.4000000000000000E+02  0.0000000000000000E+00  0.0000000000000000E+00
 -0.3919191919191919E+02  0.6523741590974233-260  0.0000000000000000E+00
 -0.3838383838383838E+02  0.4961875334152791-244  0.0000000000000000E+00
 -0.3757575757575758E+02  0.1022376952578779-228  0.0000000000000000E+00
 -0.3676767676767677E+02  0.5706796107653410-214  0.0000000000000000E+00
 -0.3595959595959596E+02  0.8629582116333616-200  0.0000000000000000E+00
 -0.3515151515151515E+02  0.3535112821666699-186  0.0000000000000000E+00
 -0.3434343434343435E+02  0.3923131768572456-173  0.0000000000000000E+00
 -0.3353535353535354E+02  0.1179447503600790-160  0.0000000000000000E+00
 -0.3272727272727273E+02  0.9605952600356226-149  0.0000000000000000E+00
 -0.3191919191919192E+02  0.2119426531728991-137  0.0000000000000000E+00
 -0.3111111111111111E+02  0.1266812667206211-126  0.0000000000000000E+00
 -0.3030303030303030E+02  0.2051268592385890-116  0.0000000000000000E+00
 -0.2949494949494949E+02  0.8998057473503623-107  0.0000000000000000E+00
 -0.2868686868686869E+02  0.1069279110884510E-97  0.0000000000000000E+00
 -0.2787878787878788E+02  0.3442305783610915E-89  0.0000000000000000E+00
 -0.2707070707070707E+02  0.3002089904612435E-81  0.0000000000000000E+00
 -0.2626262626262626E+02  0.7092726822194404E-74  0.0000000000000000E+00
 -0.2545454545454545E+02  0.4539582139532625E-67  0.0000000000000000E+00
 -0.2464646464646465E+02  0.7870884930362468E-61  0.0000000000000000E+00
 -0.2383838383838384E+02  0.3696634438635090E-55  0.0000000000000000E+00
 -0.2303030303030303E+02  0.4701697979011840E-50  0.0000000000000000E+00
 -0.2222222222222222E+02  0.1617937331999553E-45  0.0000000000000000E+00
 -0.2141414141414142E+02  0.1501131918168289E-41  0.0000000000000000E+00
 -0.2060606060606061E+02  0.3706362442285174E-38  0.0000000000000000E+00
 -0.1979797979797980E+02  0.2311888318387515E-35  0.0000000000000000E+00
 -0.1898989898989899E+02  0.2798162234223998E-33  0.0000000000000000E+00
 -0.1818181818181818E+02 -0.8939034835878161E-32  0.0000000000000000E+00
 -0.1737373737373737E+02 -0.4696057664988978E-30  0.0000000000000000E+00
 -0.1656565656565657E+02  0.2155150708822829E-28  0.0000000000000000E+00
