upwind            0.9281250000000000E+00     100      10  0.7600000000000000E-04  0.2000000000000049E-05  0.4739999999999999E-03
laxfr             0.9281250000000000E+00     100      10  0.7799999999999994E-04  0.2000000000000049E-05  0.5539999999999999E-03
laxwe             0.9281250000000000E+00     100      10  0.8400000000000009E-04  0.2999999999999965E-05  0.5310000000000000E-03
macco             0.9281250000000000E+00     100      10  0.8200000000000004E-04  0.2999999999999965E-05  0.5750000000000000E-03
ftcs              0.9281250000000000E+00     100      10  0.8999999999999991E-04  0.2000000000000049E-05  0.4900000000000000E-03
upwind            0.4884868421052630E+00     100      19  0.8500000000000001E-04  0.2999999999999965E-05  0.4340000000000001E-03
laxfr             0.4884868421052630E+00     100      19  0.9199999999999996E-04  0.5000000000000013E-05  0.5380000000000000E-03
laxwe             0.4884868421052630E+00     100      19  0.8700000000000005E-04  0.2999999999999965E-05  0.5560000000000000E-03
macco             0.4884868421052630E+00     100      19  0.8889999999999999E-03  0.0000000000000000E+00  0.0000000000000000E+00
ftcs              0.4884868421052630E+00     100      19  0.8899999999999999E-04  0.2999999999999965E-05  0.6500000000000000E-03
upwind            0.9281250000000000E+00     100      10  0.1300000000000001E-03  0.3999999999999880E-05  0.1166000000000000E-02
laxfr             0.9281250000000000E+00     100      10  0.9699999999999986E-04  0.2000000000000049E-05  0.7120000000000000E-03
laxwe             0.9281250000000000E+00     100      10  0.9000000000000002E-04  0.2999999999999965E-05  0.5950000000000000E-03
macco             0.9281250000000000E+00     100      10  0.8400000000000009E-04  0.1999999999999940E-05  0.6140000000000000E-03
ftcs              0.9281250000000000E+00     100      10  0.8000000000000010E-04  0.1999999999999940E-05  0.6020000000000000E-03
upwind            0.4884868421052630E+00     100      19  0.8200000000000004E-04  0.1999999999999940E-05  0.6559999999999999E-03
laxfr             0.4884868421052630E+00     100      19  0.9199999999999996E-04  0.2999999999999965E-05  0.6460000000000001E-03
laxwe             0.4884868421052630E+00     100      19  0.8200000000000004E-04  0.3999999999999989E-05  0.7560000000000001E-03
macco             0.4884868421052630E+00     100      19  0.8599999999999992E-04  0.3999999999999989E-05  0.6600000000000000E-03
ftcs              0.4884868421052630E+00     100      19  0.8100000000000002E-04  0.2999999999999965E-05  0.7160000000000001E-03
upwind            0.9281250000000000E+00     100      20  0.9000000000000002E-04  0.2999999999999965E-05  0.1406000000000000E-02
laxfr             0.9281250000000000E+00     100      20  0.8100000000000002E-04  0.2999999999999965E-05  0.6800000000000000E-03
laxwe             0.9281250000000000E+00     100      20  0.8699999999999995E-04  0.4000000000000097E-05  0.5289999999999998E-03
macco             0.9281250000000000E+00     100      20  0.9100000000000015E-04  0.3999999999999880E-05  0.8900000000000002E-03
ftcs              0.9281250000000000E+00     100      20  0.7800000000000016E-04  0.1999999999999832E-05  0.7680000000000000E-03
upwind            0.4884868421052630E+00     100      38  0.8499999999999990E-04  0.4000000000000097E-05  0.5160000000000000E-03
laxfr             0.4884868421052630E+00     100      38  0.8599999999999992E-04  0.3000000000000181E-05  0.5440000000000000E-03
laxwe             0.4884868421052630E+00     100      38  0.8599999999999992E-04  0.4000000000000097E-05  0.5250000000000001E-03
macco             0.4884868421052630E+00     100      38  0.8600000000000003E-04  0.5000000000000013E-05  0.5379999999999998E-03
ftcs              0.4884868421052630E+00     100      38  0.8700000000000005E-04  0.2999999999999965E-05  0.5030000000000000E-03
upwind            0.9281250000000000E+00     100      10  0.1229999999999998E-03  0.3000000000000181E-05  0.7760000000000000E-03
laxfr             0.9281250000000000E+00     100      10  0.7799999999999994E-04  0.2000000000000049E-05  0.1631000000000000E-02
laxwe             0.9281250000000000E+00     100      10  0.9400000000000001E-04  0.2000000000000049E-05  0.5800000000000000E-03
macco             0.9281250000000000E+00     100      10  0.1179999999999998E-03  0.3000000000000181E-05  0.6489999999999998E-03
ftcs              0.9281250000000000E+00     100      10  0.9599999999999995E-04  0.1000000000000133E-05  0.6089999999999999E-03
upwind            0.4884868421052630E+00     100      19  0.9500000000000003E-04  0.4000000000000097E-05  0.5720000000000000E-03
laxfr             0.4884868421052630E+00     100      19  0.1010000000000002E-03  0.5000000000000013E-05  0.5809999999999999E-03
laxwe             0.4884868421052630E+00     100      19  0.1029999999999999E-03  0.5000000000000013E-05  0.6240000000000000E-03
macco             0.4884868421052630E+00     100      19  0.9400000000000001E-04  0.5999999999999929E-05  0.5210000000000000E-03
ftcs              0.4884868421052630E+00     100      19  0.9800000000000011E-04  0.3999999999999880E-05  0.5880000000000000E-03
upwind            0.9281250000000000E+00     100      20  0.1050000000000001E-03  0.3999999999999880E-05  0.5390000000000000E-03
laxfr             0.9281250000000000E+00     100      20  0.9300000000000009E-04  0.3999999999999880E-05  0.7220000000000000E-03
laxwe             0.9281250000000000E+00     100      20  0.8799999999999997E-04  0.2999999999999965E-05  0.5960000000000000E-03
macco             0.9281250000000000E+00     100      20  0.9099999999999994E-04  0.3000000000000073E-05  0.5990000000000000E-03
ftcs              0.9281250000000000E+00     100      20  0.9200000000000007E-04  0.1999999999999832E-05  0.7770000000000001E-03
upwind            0.4884868421052630E+00     100      38  0.8800000000000008E-04  0.2999999999999965E-05  0.5789999999999999E-03
laxfr             0.4884868421052630E+00     100      38  0.8700000000000005E-04  0.3999999999999880E-05  0.5640000000000000E-03
laxwe             0.4884868421052630E+00     100      38  0.8699999999999995E-04  0.5000000000000013E-05  0.5030000000000000E-03
macco             0.4884868421052630E+00     100      38  0.9000000000000002E-04  0.5000000000000013E-05  0.5749999999999999E-03
